Id,Text,Query,Label,LabelStr
1384356667924623361,,guns should be regulated,2,NONE
1374820188386906112,,guns should be regulated,2,NONE
1377030694346633220,,guns should be regulated,2,NONE
1375815604687536128,,guns should be regulated,2,NONE
1375174415978168322,,guns should be regulated,2,NONE
1380351543464112133,,guns should be regulated,2,NONE
1376704708874805250,,guns should be regulated,2,NONE
1374822482583162886,,guns should be regulated,2,NONE
1374787408940519427,,guns should be regulated,2,NONE
1376395736414232576,,guns should be regulated,2,NONE
1382817734887620608,,guns should be regulated,2,NONE
1377891696676012034,,guns should be regulated,2,NONE
1380163330468380676,,guns should be regulated,2,NONE
1374819688065208320,,guns should be regulated,2,NONE
1374784986067390465,,guns should be regulated,2,NONE
1375128569836371971,,guns should be regulated,2,NONE
1374493021769592836,,guns should be regulated,2,NONE
1375167893999136777,,guns should be regulated,2,NONE
1374506718038683653,,guns should be regulated,2,NONE
1374141118007365639,,guns should be regulated,2,NONE
1374498912636051469,,guns should be regulated,2,NONE
1374812675423809540,,guns should be regulated,2,NONE
1374506768148008968,,guns should be regulated,2,NONE
1374787025916813313,,guns should be regulated,2,NONE
1383167403744497665,,guns should be regulated,2,NONE
1383436657303560201,,guns should be regulated,2,NONE
1375540215247425538,,guns should be regulated,2,NONE
1374817383110602752,,guns should be regulated,2,NONE
1375609034963775488,,guns should be regulated,2,NONE
1382536725176717323,,guns should be regulated,2,NONE
1375119887396433921,,guns should be regulated,2,NONE
1383073940793303042,,guns should be regulated,2,NONE
1375126514551902210,,guns should be regulated,2,NONE
1383053147854147588,,guns should be regulated,2,NONE
1376939681347219457,,guns should be regulated,2,NONE
1374780406046801921,,guns should be regulated,2,NONE
1376586832062861312,,guns should be regulated,2,NONE
1374848765358530565,,guns should be regulated,2,NONE
1383093783135461377,,guns should be regulated,2,NONE
1382065732305977351,,guns should be regulated,2,NONE
1375857438004482056,,guns should be regulated,2,NONE
1374795476927721480,,guns should be regulated,2,NONE
1374803753946152962,,guns should be regulated,2,NONE
1375852808050728964,,guns should be regulated,2,NONE
1374811639661363202,,guns should be regulated,2,NONE
1374801339016867843,,guns should be regulated,2,NONE
1374509468440915970,,guns should be regulated,2,NONE
1374817526388039683,,guns should be regulated,2,NONE
1383153299977691137,,guns should be regulated,2,NONE
1375627499267313664,,guns should be regulated,2,NONE
1374793176985202689,,guns should be regulated,2,NONE
1380205998896467971,,guns should be regulated,2,NONE
1375106871552581636,,guns should be regulated,2,NONE
1375538391538929675,,guns should be regulated,2,NONE
1384533451374694402,,guns should be regulated,2,NONE
1383024404850909188,,guns should be regulated,2,NONE
1374507736205991938,,guns should be regulated,2,NONE
1374496313941708807,,guns should be regulated,2,NONE
1383784018848616455,,guns should be regulated,2,NONE
1377058257236340737,,guns should be regulated,2,NONE
1375622716414423044,,guns should be regulated,2,NONE
1380024424796024833,,guns should be regulated,2,NONE
1374487564162269187,,guns should be regulated,2,NONE
1374850786178564099,,guns should be regulated,2,NONE
1375141070795907073,,guns should be regulated,2,NONE
1375139736793321480,,guns should be regulated,2,NONE
1383509908381782018,,guns should be regulated,2,NONE
1374781702673997824,,guns should be regulated,2,NONE
1374126864814460933,,guns should be regulated,2,NONE
1377784798404562945,,guns should be regulated,2,NONE
1375840125876326405,,guns should be regulated,2,NONE
1382025941690454016,,guns should be regulated,2,NONE
1377651695031816194,,guns should be regulated,2,NONE
1383128530448384001,,guns should be regulated,2,NONE
1383752120332001281,,guns should be regulated,2,NONE
1375311156806475782,,guns should be regulated,2,NONE
1374503209364983814,,guns should be regulated,2,NONE
1383525955554091009,,guns should be regulated,2,NONE
1375490486463574020,,guns should be regulated,2,NONE
1380310683842187272,,guns should be regulated,2,NONE
1377736898014294019,,guns should be regulated,2,NONE
1374794609151275013,,guns should be regulated,2,NONE
1376592727396114435,,guns should be regulated,2,NONE
1377993693588819968,,guns should be regulated,2,NONE
1380396806442467328,,guns should be regulated,2,NONE
1374857474558152706,,guns should be regulated,2,NONE
1379965746323800065,,guns should be regulated,2,NONE
1383067289445044233,,guns should be regulated,2,NONE
1374828970391302150,,guns should be regulated,2,NONE
1374790757287100426,,guns should be regulated,2,NONE
1374144609559834626,,guns should be regulated,2,NONE
1374491917380059137,,guns should be regulated,2,NONE
1375154848866430986,,guns should be regulated,2,NONE
1375222986974789634,,guns should be regulated,2,NONE
1380276400310136843,,guns should be regulated,2,NONE
1375412021009784835,,guns should be regulated,2,NONE
1374479829874044934,,guns should be regulated,2,NONE
1378279198935150594,,guns should be regulated,2,NONE
1374798771276677120,,guns should be regulated,2,NONE
1374485736917889032,,guns should be regulated,2,NONE
1374481235033038848,,guns should be regulated,2,NONE
1374508495978991618,,guns should be regulated,2,NONE
1374861760390397965,,guns should be regulated,2,NONE
1379969536015876099,,guns should be regulated,2,NONE
1377640027958747139,,guns should be regulated,2,NONE
1382489598484418564,,guns should be regulated,2,NONE
1375796796648210433,,guns should be regulated,2,NONE
1375106195707469831,,guns should be regulated,2,NONE
1377821522019115008,,guns should be regulated,2,NONE
1374817869339492361,,guns should be regulated,2,NONE
1383551701022515206,,guns should be regulated,2,NONE
1375248228656934921,,guns should be regulated,2,NONE
1375107640620113920,,guns should be regulated,2,NONE
1383160716106952710,,guns should be regulated,2,NONE
1375184540201844736,,guns should be regulated,2,NONE
1383121351125258243,,guns should be regulated,2,NONE
1375840621412319234,,guns should be regulated,2,NONE
1374483082317684745,,guns should be regulated,2,NONE
1375140168437354498,,guns should be regulated,2,NONE
1379957642932539395,,guns should be regulated,2,NONE
1374785804254449665,,guns should be regulated,2,NONE
1375581407347683332,,guns should be regulated,2,NONE
1374795897788375044,,guns should be regulated,2,NONE
1374509913951531008,,guns should be regulated,2,NONE
1374500990599098372,,guns should be regulated,2,NONE
1374148030769807363,,guns should be regulated,2,NONE
1375482063495761922,,guns should be regulated,2,NONE
1375596299311931393,,guns should be regulated,2,NONE
1380335440331374596,,guns should be regulated,2,NONE
1378138605915402240,,guns should be regulated,2,NONE
1374487111026442245,,guns should be regulated,2,NONE
1374832909882916864,,guns should be regulated,2,NONE
1379219059707760642,,guns should be regulated,2,NONE
1375625651957465099,,guns should be regulated,2,NONE
1375111930436743168,,guns should be regulated,2,NONE
1376526632090009608,,guns should be regulated,2,NONE
1375144639565553670,,guns should be regulated,2,NONE
1374135050040537089,,guns should be regulated,2,NONE
1377599646600683525,,guns should be regulated,2,NONE
1374487143414784004,,guns should be regulated,2,NONE
1374497874285797383,,guns should be regulated,2,NONE
1375279050831241218,,guns should be regulated,2,NONE
1374128769825398790,,guns should be regulated,2,NONE
1381749498662154240,,guns should be regulated,2,NONE
1374489032860659716,,guns should be regulated,2,NONE
1380236282496905218,,guns should be regulated,2,NONE
1380367338227200002,,guns should be regulated,2,NONE
1378374269617463299,,guns should be regulated,2,NONE
1374793765492158470,,guns should be regulated,2,NONE
1374135540887527426,,guns should be regulated,2,NONE
1375094254700261377,,guns should be regulated,2,NONE
1374506645645004800,,guns should be regulated,2,NONE
1374853447707688960,,guns should be regulated,2,NONE
1374128847675793409,,guns should be regulated,2,NONE
1374138128219398151,,guns should be regulated,2,NONE
1374857535132426240,,guns should be regulated,2,NONE
1375111091064217604,,guns should be regulated,2,NONE
1383153705206358027,,guns should be regulated,2,NONE
1375768761609957376,,guns should be regulated,2,NONE
1374488544282959874,,guns should be regulated,2,NONE
1375893725222629379,,guns should be regulated,2,NONE
1375550949922537473,,guns should be regulated,2,NONE
1374826464311398406,,guns should be regulated,2,NONE
1374796589034663940,,guns should be regulated,2,NONE
1380220966064766979,,guns should be regulated,2,NONE
1374147556662464514,,guns should be regulated,2,NONE
1375291980322897920,,guns should be regulated,2,NONE
1380395755760803842,,guns should be regulated,2,NONE
1374866429380550656,,guns should be regulated,2,NONE
1374146833610502144,,guns should be regulated,2,NONE
1374124399985623044,,guns should be regulated,2,NONE
1375187232353492992,,guns should be regulated,2,NONE
1378337516110118913,,guns should be regulated,2,NONE
1375486291303796737,,guns should be regulated,2,NONE
1388264319691890690,,guns should be regulated,2,NONE
1374785917823635459,,guns should be regulated,2,NONE
1374491998049107972,,guns should be regulated,2,NONE
